,l1,l2,l3,l4,l5,l6,l7,l8,l9,u,hashin
0,45.0,90.0,0.0,45.0,90.0,90.0,45.0,90.0,45.0,0.17031441628932953,0.8620690107345581
1,45.0,90.0,45.0,0.0,45.0,90.0,45.0,45.0,45.0,0.1990116536617279,0.8450762629508972
2,45.0,0.0,0.0,45.0,0.0,45.0,45.0,45.0,45.0,0.31420356035232544,0.9722245931625366
3,45.0,0.0,90.0,90.0,0.0,45.0,45.0,90.0,45.0,0.1300935298204422,0.8030760288238525
4,0.0,90.0,45.0,45.0,45.0,45.0,0.0,0.0,45.0,0.10544002801179886,0.8075461983680725
5,90.0,45.0,0.0,90.0,45.0,0.0,0.0,45.0,0.0,0.09638616442680359,0.867944061756134
6,45.0,45.0,90.0,0.0,45.0,0.0,45.0,45.0,45.0,0.2040882706642151,0.8411737680435181
7,45.0,90.0,0.0,45.0,0.0,90.0,0.0,0.0,90.0,0.11619742959737778,0.9462897777557373
8,45.0,45.0,45.0,0.0,45.0,0.0,45.0,45.0,45.0,0.4104294180870056,1.0263357162475586
9,90.0,90.0,0.0,90.0,90.0,45.0,90.0,45.0,45.0,0.12947873771190643,0.9556573629379272
10,90.0,45.0,45.0,45.0,90.0,45.0,45.0,45.0,45.0,0.336452454328537,1.0334908962249756
11,45.0,0.0,45.0,45.0,90.0,45.0,90.0,0.0,0.0,0.18369998037815094,0.8206451535224915
12,45.0,0.0,90.0,45.0,45.0,0.0,45.0,45.0,90.0,0.16401445865631104,0.7901084423065186
13,90.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.343807578086853,1.0765589475631714
14,45.0,90.0,45.0,0.0,0.0,0.0,0.0,90.0,45.0,0.13224004209041595,0.8671234846115112
15,90.0,0.0,45.0,90.0,45.0,90.0,45.0,90.0,90.0,0.108338363468647,0.9063292741775513
16,45.0,0.0,45.0,0.0,0.0,90.0,90.0,90.0,0.0,0.14264768362045288,0.9410169720649719
17,0.0,45.0,0.0,0.0,90.0,45.0,0.0,45.0,90.0,0.112484872341156,0.841174840927124
18,0.0,45.0,45.0,0.0,45.0,0.0,45.0,45.0,90.0,0.1824026256799698,0.8098199963569641
19,45.0,90.0,90.0,45.0,0.0,90.0,0.0,90.0,45.0,0.1489666998386383,0.8971725106239319
20,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.306487113237381,1.0283007621765137
21,45.0,45.0,0.0,45.0,0.0,45.0,0.0,45.0,45.0,0.3589925765991211,0.9979678392410278
22,0.0,45.0,90.0,0.0,90.0,45.0,45.0,90.0,45.0,0.10455060005187988,0.7907149195671082
23,0.0,45.0,45.0,90.0,90.0,45.0,45.0,0.0,45.0,0.12957186996936798,0.7848970890045166
24,0.0,45.0,45.0,45.0,0.0,90.0,90.0,0.0,45.0,0.14059746265411377,0.8018612861633301
